Ingredient                Cost per Unit ($)
Pears                     1.50 (per pound)
Raspberries               4.00 (per pint)
Chinese Cabbage           1.50 (per head)
Pine Nuts                 7.00 (per pound)
Fresh Spinach             2.00 (per bag)
Unbleached Flour          0.50 (per pound)
Mustard                   1.00 (per jar)
Hamburger                 5.00 (per pound)
Tuna                      2.50 (per can)
Kidney Beans              1.00 (per can)
Ground Ginger             2.00 (per jar)
Fresh Coriander           1.50 (per bunch)
Long Grain Rice           1.00 (per pound)
Couscous                  2.00 (per box)
Spinach                   2.00 (per bag)
Dill                      1.00 (per bunch)
Dried Rosemary            1.50 (per jar)
Dried Dill                 1.50 (per jar)
Yellow Onion              0.80 (per onion)
White Wine Vinegar        2.00 (per bottle)
Lean Ground Beef          5.00 (per pound)
Red Bell Peppers          1.50 (per pepper)
Pure Maple Syrup          8.00 (per bottle)
Head of Cabbage           1.50 (each)
Poppy Seed                2.00 (per jar)
Cashews                   5.00 (per pound)
Maple Syrup               8.00 (per bottle)
Button Mushrooms          2.00 (per pound)
Marsala                   10.00 (per bottle)
Roma Tomatoes             2.00 (per pound)
Ricotta Cheese            5.00 (per container)
Italian Sausage            4.00 (per pound)
Bourbon                   20.00 (per bottle)
Wine Vinegar              2.00 (per bottle)
Corn Syrup                3.00 (per bottle)
Bay Leaves                0.10 (per leaf)
Chicken Pieces            5.00 (per pound)
Dried Sage                 2.00 (per jar)
Fettuccine                1.50 (per box)
Bread Flour               1.00 (per pound)
Bell Pepper                1.00 (each)
Instant Vanilla Pudding   2.00 (per box)
Nonfat Sour Cream         2.50 (per pint)
Dill Weed                 1.00 (per jar)
Chicken Livers            2.50 (per pound)
Shallot                   1.00 (per onion)
Beer                      5.00 (per six-pack)
Chili Sauce               2.00 (per bottle)
Fresh Lemongrass          2.00 (per bunch)
Water Chestnut            2.00 (per can)
Chicken Breast Halves     5.00 (per pound)
Phyllo Pastry             3.00 (per pack)
Orange Zest               0.50 (per orange)
Yogurt                    2.50 (per pint)
Apricots                  3.00 (per pound)
Apple Cider               2.50 (per bottle)
Pineapple Chunks          2.00 (per can)
Mango                     2.00 (per fruit)
Vodka                     15.00 (per bottle)
Fresh Pepper              0.50 (per pepper)
Green Olives              3.00 (per jar)
Whole Kernel Corn         1.00 (per can)
Coffee                    5.00 (per pound)
Mixed Spice               2.00 (per jar)
Frozen Strawberries       3.00 (per bag)
Cream of Tartar           2.00 (per jar)
Leek                      1.00 (each)
Green Peas                2.00 (per pound)
Yellow Bell Pepper        1.50 (each)
Cauliflower Floret         2.00 (per pound)
Cottage Cheese            3.00 (per container)
Sausage                   4.00 (per pound)
Tomato Juice              2.00 (per can)
Leeks                     1.50 (per bunch)
Dried Oregano Leaves      2.00 (per jar)
Pumpkin Puree             2.50 (per can)
Boneless Chicken          5.00 (per pound)
Basmati Rice              2.00 (per pound)
Eggplant                  2.00 (per pound)
Low Sodium Soy Sauce      3.00 (per bottle)
Mustard Powder            1.50 (per jar)
Cardamom Pods            4.00 (per jar)
Black Peppercorns         2.00 (per jar)
Whole Cloves              2.00 (per jar)
Golden Raisin             3.00 (per pound)
Bisquick Baking Mix       3.00 (per box)
Frozen Blueberries        4.00 (per pound)
Fresh Corn Kernels        1.50 (per ear)
Fresh Parsley Leaves      1.00 (per bunch)
Caraway Seed              2.00 (per jar)
Peas                      2.00 (per pound)
Stewed Tomatoes          2.00 (per can)
Bell Peppers              1.50 (per pepper)
Vanilla Flavoring         3.00 (per bottle)
Seedless Grapes           3.00 (per pound)
Blue Cheese               5.00 (per wedge)
Basil Leaves              2.00 (per bunch)
Oregano Leaves            2.00 (per jar)
Fresh Basil Leaf          2.00 (per bunch)
Dark Rum                  15.00 (per bottle)
Lamb                      10.00 (per pound)
Plain Low-Fat Yogurt      2.00 (per pint)
Smoked Ham                5.00 (per pound)
Fresh Blueberries         4.00 (per pint)
Five-Spice Powder         2.50 (per jar)
White Flour               1.00 (per pound)
Cherry Tomatoes           2.00 (per pint)
Sultana                   3.00 (per pound)
Nonfat Cottage Cheese     3.00 (per container)
Orange Marmalade          3.00 (per jar)
Raw Potatoes              0.60 (per pound)
Minute Rice               2.00 (per box)
Chicken Parts             5.00 (per pound)
Boneless Chicken Breast   5.00 (per pound)
Spring Onion              0.50 (per bunch)
Tomato Puree             2.00 (per can)
Boneless Chicken Breasts  5.00 (per pound)
Dates                     3.00 (per pound)
Soymilk                   3.00 (per carton)
Jalapeno Chile            1.00 (per pepper)
Barbecue Sauce            3.00 (per bottle)
Plums                     2.00 (per pound)
Vanilla Ice Cream         4.00 (per pint)
Banana                    0.60 (each)
Baking Chocolate          4.00 (per bar)
Green Bell Peppers        1.00 (each)
Lemon Slice               0.50 (per slice)
Port Wine                 12.00 (per bottle)
Lime Rind                 0.20 (per lime)
Part-Skim Ricotta Cheese  4.00 (per container)
Grand Marnier             20.00 (per bottle)
Serrano Chilies           1.00 (per pepper)
Romaine Lettuce           2.00 (per head)
Frozen Raspberries        3.00 (per bag)
Lemon Zest                0.50 (per lemon)
Heavy Whipping Cream     3.00 (per pint)
Lemon Wedge               0.30 (per wedge)
Low-Fat Cheddar Cheese    4.00 (per block)
Whole Tomatoes            2.00 (per pound)
Pork                      6.00 (per pound)
Cooking Apples            2.00 (per pound)
1% Low-Fat Milk           3.00 (per gallon)
Fat-Free Cream Cheese    3.00 (per block)
Mascarpone                6.00 (per container)
Ladyfingers               3.00 (per pack)
Frozen Corn               2.00 (per bag)
Cocoa Powder              3.00 (per jar)
Haracter(0,3)             0.00 (free)
Vanilla Bean              4.00 (per pod)
Granny Smith Apples      1.50 (per pound)
Lowfat Mozzarella Cheese  3.00 (per block)
English Cucumber          1.00 (each)
Frozen Corn Kernels       2.00 (per bag)
Cauliflower Florets       2.00 (per pound)
Salmon Fillets            7.00 (per pound)
Plain Nonfat Yogurt       3.00 (per container)
Ketjap Manis              4.00 (per bottle)
Crushed Pineapple         2.00 (per can)
Peanut Butter             4.00 (per jar)
Rubbed Sage               2.00 (per jar)
Anchovy Fillets           4.00 (per jar)
Horseradish               2.00 (per jar)
Dried Marjoram            2.00 (per jar)
Poppy Seeds               3.00 (per jar)
Water Chestnuts           2.00 (per can)
Nectarines                3.00 (per pound)
Ground Cumin              2.00 (per jar)
Garbanzo Beans            1.00 (per can)
Hard-Boiled Eggs          2.50 (per dozen)
Fresh Black Pepper        0.20 (per tsp)
Low-Fat Sour Cream       2.50 (per pint)
Medium-Dry Sherry         10.00 (per bottle)
Skinless Chicken Breasts  5.00 (per pound)
Walnut Pieces             6.00 (per pound)
Chicken Thighs            5.00 (per pound)
Elbow Macaroni            1.00 (per box)
Fresh Tomatoes            2.00 (per pound)
Accent Seasoning          3.00 (per jar)
Cool Whip                 2.50 (per tub)
Hoisin Sauce              3.00 (per bottle)
Red Chilies               1.00 (per pepper)
Dark Soy Sauce            3.00 (per bottle)
Fish Sauce                4.00 (per bottle)
Minute Tapioca            2.00 (per box)
Saffron                   15.00 (per gram)
Whole Coriander Seed      2.00 (per jar)
Avocados                  2.00 (each)
Ingredient                    Cost per Unit ($)
Burgundy Wine                 8.00 (per bottle)
French Baguette               2.00 (each)
Fresh Basil Leaves            2.00 (per bunch)
Plum Tomato                   2.00 (per pound)
Sun-Dried Tomato              3.00 (per jar)
Dark Molasses                 3.00 (per bottle)
Dry Yeast                     1.00 (per packet)
Chicken Bouillon Cubes        2.50 (per box)
Fine Salt                     1.00 (per container)
Sauerkraut                    2.00 (per jar)
Vanilla Essence               2.00 (per bottle)
Brown Rice                    2.00 (per pound)
Broccoli Floret               2.00 (per bunch)
Grapefruit Juice              3.00 (per bottle)
Tomato Sauce with Onion       2.50 (per can)
Red Capsicums                 2.00 (per pepper)
Cumin Seeds                   0.15 (per tsp)
Fennel Seeds                  0.30 (per tsp)
Halibut Steaks                10.00 (per pound)
Spanish Onion                 1.00 (each)
Ham Slices                    4.00 (per pound)
Flat Leaf Parsley             1.50 (per bunch)
Rum                          15.00 (per bottle)
Cannellini Beans              1.50 (per can)
Asparagus                     2.00 (per bunch)
Smoked Salmon                 8.00 (per pound)
Bread Machine Yeast           1.50 (per packet)
Piri-Piri                     2.00 (per jar)
Radish                        1.00 (per bunch)
Pimiento                       1.50 (per jar)
Peppercorn                    2.00 (per jar)
Cognac                        25.00 (per bottle)
Part-Skim Mozzarella Cheese   3.50 (per block)
Fresh Garlic                  0.50 (per bulb)
Dried Currant                 2.00 (per bag)
Cracked Pepper                1.00 (per jar)
Unsweetened Coconut Milk      2.00 (per can)
Live Lobsters                 15.00 (per lobster)
Bamboo Shoot                  2.00 (per can)
Chipotle Pepper               1.00 (per pepper)
Napa Cabbage                  2.00 (per head)
Maraschino Cherries           3.00 (per jar)
Tapioca                        2.00 (per bag)
Chocolate                     3.00 (per bar)
English Muffins               2.50 (per pack)
Distilled White Vinegar       2.00 (per bottle)
Fresh Tarragon                 3.00 (per bunch)
Firm Tofu                     2.00 (per block)
Whole Wheat Pastry Flour      2.00 (per bag)
Pear                          1.50 (per pear)
Green Onion Top               1.00 (per bunch)
Lamb Chops                    10.00 (per pound)
Dried Dill Weed               2.00 (per jar)
Kasseri Cheese                5.00 (per block)
Raw Carrot                    0.50 (per carrot)
Palm Sugar                    3.00 (per bag)
Belgian Endive                2.50 (per bunch)
Turkey Polish Kielbasa        5.00 (per pound)
Cauliflower                   2.50 (per head)
Herbs                         1.50 (per bunch)
Fresh Pineapple               2.00 (per fruit)
Strawberries                  4.00 (per pint)
Chicken Wings                 6.00 (per pound)
Muenster Cheese               5.00 (per block)
Fat-Free Chicken Broth        3.00 (per quart)
Fat-Free Parmesan             4.00 (per block)
Cumin Powder                  0.15 (per tsp)
Whole Cumin Seed              0.20 (per tsp)
MSG                           1.50 (per jar)
Pure Vanilla Extract          5.00 (per bottle)
Oatmeal                       2.00 (per container)
Fat-Free Parmesan Cheese     4.00 (per block)
Celery Ribs                   2.00 (per bunch)
Low-Fat Mayonnaise            3.00 (per jar)
Marsala Wine                  10.00 (per bottle)
Bittersweet Chocolate         3.50 (per bar)
Powdered Ginger               2.00 (per jar)
Eggplants                     2.00 (per pound)
Mild Cheddar Cheese           4.00 (per block)
Tamarillos                    3.00 (per pound)
Chicken Drumsticks            5.00 (per pound)
Fresh Strawberries            4.00 (per pint)
Green Cabbage                 2.00 (per head)
Macaroni                      1.00 (per box)
Penne                         1.50 (per box)
2% Low-Fat Milk               3.00 (per gallon)
Fresh Raspberry               5.00 (per pint)
Sambal Oelek                  3.00 (per jar)
Kale                          2.50 (per bunch)
Parsley Sprig                 1.00 (per sprig)
Soya Sauce                    2.50 (per bottle)
Colby                         4.00 (per block)
Kitchen Bouquet               3.00 (per bottle)
Roasting Chickens             8.00 (per chicken)
Dried Parsley Flakes          2.00 (per jar)
Jumbo Shrimp                  8.00 (per pound)
Mandarin Oranges              3.00 (per can)
Heinz Chili Sauce             2.50 (per bottle)
Boneless Skinless Chicken     5.00 (per pound)
Watercress                    2.50 (per bunch)
Radishes                      1.50 (per bunch)
Salmon Fillet                 10.00 (per fillet)
Whole Chickens                8.00 (per chicken)
Anchovy Paste                 2.50 (per jar)
Fresh Oregano                 2.00 (per bunch)
Nonfat Cheddar Cheese         4.00 (per block)
Nonfat Plain Yogurt           2.50 (per container)
White Cornmeal                2.00 (per pound)
Bacon Drippings               3.00 (per jar)
Seedless Raisins              3.00 (per pound)
Sea Salt                      2.00 (per container)
Lentils                        2.00 (per pound)
Warm Water                    0.00 (free)
Linguine                      2.00 (per box)
Cream-Style Cottage Cheese   2.50 (per container)
Curry Paste                   2.00 (per jar)
Dried Yeast                    1.00 (per packet)
Coarse Black Pepper           1.00 (per jar)
Mixed Herbs                   2.00 (per jar)
Wild Rice                     3.00 (per pound)
Rotini Pasta                  2.00 (per box)
Low-Fat Cream Cheese         3.00 (per block)
Low-Fat Cottage Cheese       3.00 (per container)
Wheat Germ                    2.50 (per bag)
Apple Cider Vinegar          2.00 (per bottle)
Habaneros                     1.00 (per pepper)
Light Rum                     15.00 (per bottle)
Gelatin                       2.00 (per packet)
Navy Beans                    1.50 (per can)
Dried Basil Leaves            2.00 (per jar)
Arborio Rice                  3.00 (per pound)
Dijon-Style Mustard           2.00 (per jar)
Orzo Pasta                    2.00 (per box)
Dried Parsley                 2.00 (per jar)
Crystallized Ginger           2.00 (per jar)
Golden Rum                    20.00 (per bottle)
Pineapple Tidbits             2.00 (per can)
Solid-Pack Pumpkin            2.50 (per can)
Red Capsicum                  2.00 (per pepper)
Light Molasses                3.00 (per bottle)
Extra Lean Beef               6.00 (per pound)
Kernel Corn                   1.00 (per can)
Head Lettuce                  2.00 (per head)
Snow Peas                     2.00 (per bag)
Reduced Sodium Soy Sauce     3.00 (per bottle)
Fresh Bean Sprouts            2.00 (per bag)
Bulgur                        2.00 (per pound)
Hot Red Chili Peppers        2.00 (per pepper)
Biscuit Mix                   2.50 (per box)
Masa Harina                   3.00 (per bag)
Crushed Red Pepper Flakes    2.00 (per jar)
Beef Burgers                  6.00 (per pound)
Very Strong Coffee            6.00 (per pound)
Canned Pumpkin               2.00 (per can)
Baking Apples                 2.00 (per pound)
Savoy Cabbage                 2.00 (per head)
Low-Fat Buttermilk            3.00 (per quart)
Hot Green Chili Peppers      2.00 (per pepper)
Cardamom Seed                4.00 (per jar)
Mint Leaf                     1.00 (per bunch)
Ghee                          8.00 (per jar)
Fresh Water                   0.00 (free)
Extra Firm Tofu               2.00 (per block)
Plain Tomato Juice            1.00 (per can)
Canned Pimiento               2.00 (per jar)
Ingredient                         Cost per Unit ($)
haeo                               1.00 (per packet)
black tea                          1.00 (per box)
star anise                         1.00 (per jar)
nonfat dry milk solid              1.00 (per bag)
five-spice seasoning               1.00 (per jar)
beef eye round                     6.00 (per pound)
ready-to-serve beef broth          2.50 (per can)
frozen sugar snap peas             1.50 (per bag)
firm butter                        3.00 (per pound)
white chocolate                    3.00 (per bar)
boston lettuce leaves              1.00 (per head)
almond paste                       4.00 (per jar)
hot dry mustard                    1.50 (per jar)
piloncillo cone                    2.50 (per cone)
Nottingham dry yeast               1.50 (per packet)
buckwheat flour                    3.00 (per pound)
powdered soy protein concentrate   3.50 (per bag)
green chili pepper                 1.00 (per pepper)
sweet butter                       4.00 (per pound)
beef brisket                       8.00 (per pound)
Brussels sprout                    2.00 (per pound)
Brussels sprouts                    2.00 (per pound)
country sausage                    4.00 (per pound)
marshmallow creme                  2.00 (per jar)
summer savory                      2.00 (per bunch)
fresh snow pea                     1.50 (per bag)
grapefruit section                 1.00 (per fruit)
Italian pork sausage               5.00 (per pound)
egg tomatoes                       2.00 (per pound)
yellow capsicum                    1.50 (per pepper)
mango powder                       2.00 (per jar)
black salt                         2.50 (per jar)
asafoetida powder                  3.00 (per jar)
green serrano chilies              1.00 (per pepper)
black cardamom pods                3.00 (per pod)
mint leaves                        1.00 (per bunch)
cajun-style stewed tomatoes        2.00 (per can)
small potato                       1.00 (per pound)
littleneck clams                    8.00 (per dozen)
Canadian bacon                     5.00 (per pound)
dry white vermouth                 7.00 (per bottle)
bottled clam broth                 2.50 (per bottle)
baking potato                      1.00 (per pound)
tart apples                        2.00 (per pound)
tahini sesame butter               4.00 (per jar)
tofunaise                          3.50 (per jar)
bacon bits                         3.00 (per bag)
lamb chop                          10.00 (per chop)
black-eyed peas                    1.50 (per can)
vegetable broth                    2.00 (per carton)
frozen limeade concentrate         2.00 (per can)
green apples                       1.50 (per apple)
self rising flour                  2.00 (per bag)
barbecued chicken                  5.00 (per pound)
unsweetened pineapple slices      2.00 (per can)
spring onions                      1.00 (per bunch)
DOLE® Banana                       0.50 (each)
amaretto liqueur                   15.00 (per bottle)
provolone cheese                   5.00 (per block)
tuna salad                         3.00 (per can)
salmon salad                       4.50 (per can)
Amish Friendship Starter          5.00 (per jar)
portabella mushroom caps          5.00 (per pack)
whole canned tomatoes             2.00 (per can)
mango chutney                     3.00 (per jar)
seasoned flour                     2.00 (per bag)
chicken liver                      3.00 (per pound)
dried funghi porcini               4.00 (per ounce)
white mushrooms                    2.00 (per pound)
madeira wine                       10.00 (per bottle)
bicarbonate of soda                1.00 (per box)
dried ancho chiles                 3.00 (per bag)
mild chili powder                  1.00 (per jar)
hot chili powder                   1.00 (per jar)
chimayo chili powder               1.50 (per jar)
chipotle paste                     2.00 (per jar)
curry                              2.00 (per jar)
frozen green pea                   2.00 (per bag)
low-fat ricotta cheese             3.00 (per container)
lowfat swiss cheese                4.00 (per block)
croutons                           2.00 (per bag)
unsweetened coconut               2.50 (per bag)
portabella mushroom               5.00 (per pack)
onion white                        1.00 (each)
sun-dried tomatoes                 3.00 (per pack)
lemon rind                         1.00 (per lemon)
bock beer                          3.00 (per bottle)
cake yeast                         1.00 (per packet)
Budweiser beer                     2.00 (per bottle)
Hunts tomato sauce                 2.00 (per can)
bouillon                           2.00 (per cube)
green ginger                       2.50 (per root)
dry linguine                       2.00 (per box)
chicken halves                     4.00 (per pound)
clams                              8.00 (per dozen)
shiitake mushroom                  5.00 (per pound)
cake tofu                          2.00 (per block)
arbol chile                        1.00 (per pepper)
lemon gelatin                      1.50 (per packet)
cheddar cheese cubes               4.00 (per block)
cranberries                        3.00 (per bag)
unsalted cashews                   5.00 (per pound)
unbleached all-purpose flour       2.00 (per bag)
unsalted shelled pistachios        6.00 (per pound)
maraschino cherry juice            2.00 (per bottle)
instant nonfat dry milk powder     1.50 (per bag)
chocolate pudding mix              2.00 (per box)
ice cream                          4.00 (per pint)
chestnut puree                     4.00 (per can)
chicken giblets                    2.50 (per pack)
cooked brown rice                  2.00 (per pound)
spicy brown mustard                2.00 (per jar)
lemon-pepper seasoning             1.50 (per jar)
fresh sorrel                       2.00 (per bunch)
arugula                            2.00 (per bunch)
dried tarragon                     2.00 (per jar)
green onion tops                   1.00 (per bunch)
tap water                          0.00 (free)
sake                               12.00 (per bottle)
cooking sherry                     8.00 (per bottle)
lemon basil                        2.50 (per bunch)
egg white substitute               2.50 (per carton)
sweet sherry                       12.00 (per bottle)
habanero peppers                   1.00 (per pepper)
distilled vinegar                  2.00 (per bottle)
fresh dill weed                     2.00 (per bunch)
large shrimp                       8.00 (per pound)
coarse salt                        1.00 (per jar)
lemongrass                         3.00 (per stalk)
salt cod fish                       6.00 (per pound)
fat salt pork                       4.00 (per pound)
canned corn niblet                 2.00 (per can)
red leaf lettuce                    2.00 (per head)
dried black beans                   2.00 (per pound)
hot Italian sausage                 5.00 (per pound)
medium firm tofu                   2.00 (per block)
plain firm tofu                    2.00 (per block)
grapefruit                         1.50 (per fruit)
moist coconut                       2.00 (per pack)
maraschino juice                   2.00 (per bottle)
soft shelled crabs                  12.00 (per pound)
season salt                        1.50 (per jar)
cream sherry                       10.00 (per bottle)
dark sweet red cherries            4.00 (per jar)
dark sweet cherries                4.00 (per jar)
cranberry juice                    3.00 (per bottle)
head of garlic                      0.50 (per bulb)
puff pastry sheets                  4.00 (per pack)
chutney                            3.00 (per jar)
