Name,Ingredients,Total_Protein,Total_Fat,Total_Carbs,Total_Calories,Estimated_Cost
"Crab, Grapefruit And Watercress Salad","['3 tablespoons champagne vinegar', '3 tablespoons honey', '2 tablespoons chopped sweet onion', '1 teaspoon Dijon mustard', '1/2 teaspoon sea salt', '1/2 cup canola oil', '1 tablespoon poppy seeds', ""2 cans (6-1/2 ounces each) jumbo lump crabmeat, drained {Maria: the flavor of jumbo lump crabmeat is much better than plain old lump crabmeat plus it's more tender, so please be sure to get jumbo. thx!}"", '6 cups watercress', '2-1/2 cups fresh grapefruit segments', '12 cherry tomatoes, halved', '1 medium ripe avocado, peeled, pitted and sliced', '1-1/2 teaspoons white grapefruit juice']",16.33,104.16,162.34,1647.0,16.05
Sloppy Joe Grilled Cheese,"['1 pound ground beef', '1/4 cup chopped onion', '2 tablespoons prepared mustard depending on your tastebuds', '1/2 cup ketchup', '1/4 cup brown sugar', '1/2 tablespoon worcestershire sauce', '12 slices Texas toast bread', '6 tablespoons butter softened', '4 cups shredded cheese or more if you need it']",64.41,61.24,281.88,1931.0,27.0
Strawberry Tart,"['1 pie shell Graham Cracker', '2 cups low fat milk', '1 package sugar free vanilla instant pudding mix', '1 teaspoon orange rind grated freshly', '2 cups strawberries cleaned &', 'berries Hauled, other, maybe substituted']",19.22,48.12,183.74,1241.0,13.0
Broccoli Casserole,"['2 pkg. chopped broccoli, cooked and drained or fresh', '1/2 c. margarine', '4 Tbsp. flour', '4 chicken bouillons, crushed', '2 c. milk', '8 oz. pkg. stuffing mix']",31.82,83.72,75.42,1221.0,13.25
Vegetable Salad,"['2 cans Veg-All, drained', '1 can kidney beans, rinsed and drained', '1 can whole corn, drained', '1 c. chopped celery', '1 green pepper, chopped', '1 small onion, chopped', '2 Tbsp. flour', '3/4 c. sugar', '1/2 c. vinegar', '2 Tbsp. mustard']",22.56,6.92,240.46,1134.0,9.0
Easy Rhubarb Jam Recipe,"['5 c. cut-up rhubarb', '3 c. sugar']",0.0,0.0,100.0,375.0,1.25
Portzelky (New Year'S Cookies),"['1 teaspoon sugar', '1/2 cup lukewarm water', '2 teaspoons active dry yeast', '1/2 cup milk', '1/2 cup water', '1/2 tablespoon salt', '1 tablespoon sugar', '2 teaspoons baking powder', '2 cups raisins (or as many as you would like)', '3 egg yolks', '3 egg whites, beaten', '3 cups flour', 'oil (for deep frying)']",98.66,170.29,418.22,3481.0,28.85
Frozen Fruit Medley,"['1 (17 ounce) can apricots or (17 ounce) can peaches', '1 (20 ounce) can unsweetend crushed pineapple', '1 cup juice or 1 cup syrup, drained from canned fruit', '1/2 cup sugar', '2 cups strawberries (or 16 oz pkg whole frozen unsweetened berries paritally thawed and separated)', '3 bananas, sliced', '1 (6 ounce) can frozen orange juice concentrate', '2 tablespoons lemon juice']",9.36,1.81,380.68,1507.0,17.55
Banana Slush,"['3 cups Water', '2 cups Sugar', '177 milliliters Orange Juice Concentrate', '6 Tablespoons Lemon Juice', '6 whole Ripe Bananas', '1.36 liters Pineapple Juice', '2 bottles (2-liter Size) Lemon-Line Soda']",10.63,3.19,302.2,1215.0,8.1
Just Peachy Iced Tea,"['4 cups water', '4 tablespoons sugar, to taste', '4 tea bags', '1 1/2 cups peach nectar', '6 slices peaches (wedges) (optional)']",0.0,0.0,120.09,453.0,3.8
Caramel Snappers,"['90 pecan halves (about 1 1/2 c.)', '1/2 (14 oz.) pkg. vanilla caramels (about 25)', '1 Tbsp. water', '1/2 c. semi-sweet chocolate pieces']",3.5,16.2,33.09,291.0,0.05
Nutty Butty Pie,"['3 graham cracker crusts', '1 (8 oz.) cream cheese', '2 (8 oz.) Cool Whip', '1 c. whole milk', '2 c. 10x confectioners sugar', '3/4 c. crunchy peanut butter', ""1 small can Hershey's chocolate syrup"", '3/4 c. crushed pecans']",22.07,108.73,211.51,1808.0,27.5
Pine Nut Cookie Cups,"['Nonstick vegetable oil spray', '1/2 cup pine nuts, toasted', '1/2 cup sugar', '1/4 cup all purpose flour', '5 tablespoons unsalted butter, melted', '2 large egg whites, beaten to blend', '1/2 teaspoon vanilla extract', '1/3 cup pine nuts, untoasted']",62.25,169.6,254.64,2680.0,37.0
Barbecued Beef Brisket Recipe,"['One brisket, 5 to 6 pounds, trimmed', ""3 Tbsp. Emeril's Original Essence"", '1 1/2 tsp salt', '1 Tbsp. extra virgin olive oil', '1 quart Barbecue Sauce (recipe follows)', '2 c. veal stock or possibly canned low-sodium beef broth', '2 tsp salt Preheat the oven to 325 degrees F.']",0.0,100.0,0.0,900.0,9.5
Chocolate Oinks,"['2 1/4 cups flour', '1 teaspoon baking soda', '1 teaspoon salt', '2 sticks butter 1 cup', '3/4 cup white sugar', '3/4 cup brown sugar', '1 1/4 teaspoons vanilla', '2 eggs', ""12 ounces semi sweet chocolate chips Nestle's"", '1 package thick cut bacon at least 11 slices', '1/8 cup brown sugar additional, approximately']",30.49,76.2,394.64,2359.0,22.75
Extra Flaky Pie Crust,"['3 c. flour', '1 tsp. salt', '1 Tbsp. vinegar', '1 1/4 c. lard', '1 egg, well beaten', '5 Tbsp. water']",13.08,128.8,139.43,1811.0,11.3
Bacon Quiche Biscuit Cups,"['1 (8 oz.) cream cheese, softened', '2 Tbsp. milk', '2 eggs', '1/2 c. shredded Swiss cheese', '2 Tbsp. chopped green onion', '1 (10 oz.) can refrigerator flaky biscuits', '5 slices bacon, crisply cooked and finely crumbled']",52.96,120.22,22.36,1391.0,21.5
Pasta with Anchovies and Tomatoes,"['1 pound bowtie-shaped pasta (farfalle)', '3/4 cup finely chopped onion', '1 garlic clove, minced', '2 tablespoons olive oil', 'a 2-ounce can flat anchovy fillets, drained and minced', 'a 28- to 32-ounce can tomatoes, drained, reserving juice, and chopped', '1 tablespoon balsamic vinegar', '1/2 teaspoon dried hot red pepper flakes', '2 tablespoons drained capers, chopped', '2 ounces thinly sliced prosciutto, chopped (about 1/2 cup)', '1/4 cup finely chopped fresh basil or parsley leaves (wash and dry before chopping), or to taste', 'Accompaniment: freshly grated Parmesan']",11.78,100.78,242.88,2038.0,22.0
Mustard Plus Glazed Pork Chops,"['3 tablespoons orange marmalade', '2 tablespoons soy sauce', '1 teaspoon Dijon mustard (coarse grained preferred)', '1/4 teaspoon crushed red pepper flakes (optional)', '1/4 cup water', '4 center cut pork loin chops with bone (1/2 inch thick)', 'pepper', '1 teaspoon lite olive oil or 1 teaspoon vegetable oil', '1/2 cup thin sliced green onion', 'orange, sliced for garnish']",42.44,113.76,343.61,2691.0,21.05
Simple Ranch Beans,"['2 (15 ounce) cans ranch style beans', '1 (15 ounce) can baked beans', '1 large green bell pepper, chopped', '1 large onion, chopped', '1/2 lb bacon, cooked and crumbled']",18.04,50.78,126.1,1122.0,10.25
Chocolate Cookies(No Bake)  ,"['2 c. sugar', '1/2 c. butter or margarine', '1/2 c. milk', '5 Tbsp. cocoa', '3 c. quick cooking oatmeal', '1 c. walnut meats', '1/2 tsp. vanilla']",28.43,29.53,190.06,903.0,12.0
Spinach and Rice Casserole,"['12 cup rice, uncooked', '1 cup butter', '13 cup flour', '1 quart half-and-half or 1 quart milk', '3 eggs', '2 lbs spinach, cooked,drained and chopped', '14 cup green onion, chopped', '1 12 cups feta cheese, crumbled', '14 cup parmesan cheese', '1 tablespoon paprika', 'salt and pepper']",86.8,67.35,181.78,1742.0,32.5
Barbecue Sauce,"['1 large onion, finely chopped', '3 Tbsp. margarine', '1/2 c. brown sugar', '1/2 c. steak sauce', '1 garlic clove (optional)', '1 (16 oz.) bottle ketchup', '1/2 c. lemon juice', '1 Tbsp. salt']",13.23,79.93,241.84,1749.0,15.5
Cornish Game Hen (With Wild Rice),"['2 Cornish game hens', '1 box chicken flavored wild rice (wild and white mixed or wild and brown mixed)', '1/2 c. raisins (optional)', 'some salt (for flavoring)']",24.7,2.04,79.32,406.0,10.5
Pull-Apart Rolls,"['2 sweet roll dough (can use white)', 'cinnamon', 'nuts', '1/4 c. milk or cream', '1 stick butter or margarine', '1 c. brown sugar', '1 pkg. vanilla pudding (not instant)']",28.43,46.23,160.06,1103.0,21.5
Mostaccioli,"['1/2 lb. ground beef', '1/2 c. chopped green pepper', '1/2 c. chopped onion', '1 lb. can tomatoes', '1 (6 oz.) can tomato paste', '1/2 c. water', '1 bay leaf', 'salt and pepper', '8 oz. box mostaccioli noodles (or other style noodles), cooked and drained', '1/2 lb. Velveeta cheese', 'Parmesan cheese']",102.21,84.03,308.57,2523.0,31.55
Balsamic Vinegar Marinade,"['1/2 c. balsamic vinegar', '1/4 c. red wine vinegar', '2 Tbsp. soy sauce', '1/4 c. steak sauce (A.1., Lea & Perrins, etc.)', '1 to 2 Tbsp. lemon pepper']",9.46,0.8,169.58,866.0,21.5
Catatini,"['1 pkg. pepperoni', '1 lb. ground meat', '1 jar spaghetti sauce', '1 pkg. shredded cheese', '1 pkg. elbow noodles', 'salt and pepper to taste']",32.2,26.45,213.66,1367.0,13.5
Meat Loaf,"['1 1/2 lb. ground beef', '1/2 c. fresh bread crumbs', '1 onion, finely chopped', '1 egg', '1 1/2 tsp. salt', '1/4 tsp. pepper', ""2 (8 oz.) cans Hunt's tomato sauce"", '1/2 c. water', '3 Tbsp. vinegar', '3 Tbsp. brown sugar', '2 Tbsp. Worcestershire sauce', '2 Tbsp. mustard']",49.1,65.12,392.66,2421.0,26.3
Black Chocolate Cake Recipe,"['2 c. Flour', '2 c. Sugar', '1 c. Baking cocoa', '1 pch Salt', '8 Tbsp. Salad oil (up to 10)', '2 tsp Baking soda', '2 c. Boiling water', '1 x Egg', '1 tsp Vanilla (up to 2)', '3 c. Flour', '3 c. Sugar', '1 1/2 c. Baking cocoa', '1 pch Salt', '14 Tbsp. salad oil (up to 15)', '3 tsp Baking soda', '3 c. Boiling water', '2 x Large eggs', '2 1/2 tsp Vanilla', '3 Tbsp. Flour', '1/2 c. Lowfat milk', '1/2 c. Shortening', '1/2 c. Sugar', '1/2 tsp Vanilla (up to 1)', '1 pch Salt']",92.67,410.73,781.59,6842.0,44.6
Pizza Casserole,"['1/2 lb. hamburger or pepperoni or both, browned and drained', '2 c. macaroni or pasta, cooked and drained', '10 oz. jar pizza sauce', '6 oz. can tomato paste', '10 oz. can water', '4 oz. Mozzarella cheese, grated']",29.67,22.22,112.11,844.0,12.3
Savory Wheat Crescents,"['1 package (1/4 ounce) active dry yeast', '1/2 cup warm water (110° to 115°)', '8-1/2 teaspoons honey, divided', '2 cups whole wheat flour', '3/4 cup warm milk (110° to 115°)', '6 tablespoons butter, softened, divided', '1 egg', '1 teaspoon salt', '1-3/4 to 2-1/4 cups all-purpose flour', '1/4 cup grated Parmesan cheese', '1/4 teaspoon garlic salt']",105.42,69.74,373.19,2496.0,32.55
Creamy Date & Honey Spread,"['1 pkg. (8 oz.) PHILADELPHIA Cream Cheese, softened', '3 Tbsp. honey', '1/2 tsp. ground cinnamon', '3/4 cup finely chopped dates']",9.94,32.1,164.54,925.0,17.5
Bean And Corn Casserole,"['1 can Shoe Peg corn', '1 can French cut green beans', '1/2 c. grated cheese', '1/2 c. onions, chopped', '1 can cream of celery soup', '1/2 c. sour cream', '1 roll Ritz crackers, crushed', '1/2 c. slivered almonds', '1 stick margarine']",22.79,121.18,21.39,1314.0,12.5
Smoky Butternet Squash And Apple Soup,"['1 medium butternut squash, peeled, seeded and cut into large dice', '2 medium red apples (look for sweet/tart and crisp), peeled, cored and cut into large dice', '1 teaspoon lemon juice', '1 small onion, diced', '1 medium clove garlic, minced', '11/2 teaspoons coarse salt', '11/2 teaspoons ground cumin', '1/2 teaspoon ground coriander', '1/2 teaspoon smoky Spanish paprika', '2 cups chicken or vegetable stock', '11/2 cups water', 'Salt and pepper, to taste', '1 sprig cilantro, optional for garnish', '4 tablespoons light sour cream, optional for garnish']",45.18,22.07,303.49,1664.0,27.8
Grilled Shrimp,"['4 cloves Garlic, Roasted', '1 Tablespoon Olive Oil', '2 teaspoons Dried Mint Leaves, Divided', '17 whole Raw Shrimp', '2 teaspoons Fish Sauce', '6 teaspoons Cold Water', '1 teaspoon Hoisin Sauce', '1/4 teaspoons Chili Garlic Sauce', '2 teaspoons Maple Syrup', '1 teaspoon Lime Juice']",16.86,100.01,174.41,1691.0,30.3
Nana's Bun-On-A-Stick,"['3 cups flour', '12 cup cornmeal', '12 cup skim milk powder', '14 cup sugar', '1 tablespoon baking powder', '12 teaspoon salt', '13 cup butter or 13 cup margarine']",18.92,5.77,255.77,1153.0,17.0
Jalapeno Salsa Dona,"['12 jalapenos LARGE', '6 cloves roasted garlic', '1/4 cup olive oil', '1 tablespoon rice wine vinegar', 'salt TO TASTE']",3.47,102.43,59.7,1206.0,10.25
Praline Brownies,"['1 (20 ounce) box regular fudge brownie mix (13x9 pan size)', '1/4 cup water', '1/2 cup softened butter or 1/2 cup margarine', '3 eggs', '1/2 cup firmly packed brown sugar', '1/2 cup chopped pecans', '2 tablespoons margarine, melted']",23.18,161.9,126.45,1983.0,23.05
Freah Lemonade With Raw Honey,"['1/2 cups Raw Honey', '4 cups Water', '1 cup Lemon Juice, Freshly Squeezed', '2 Tablespoons Fresh Ginger, Grated', '2 Tablespoons Fresh Mint, Chopped']",0.3,0.0,93.2,346.0,8.3
Triple-Citrus Cupcakes,"['3 1/3 cups all-purpose flour', '2 teaspoons coarse salt', '1 pound (4 sticks) unsalted butter, room temperature', '2 cups sugar', '3 tablespoons finely grated lemon zest (from 3 lemons)', '3 tablespoons finely grated orange zest (from 2 oranges)', '3 tablespoons finely grated lime zest, plus more for garnish (from about 3 limes)', '1 teaspoon pure vanilla extract', '9 large eggs, room temperature', 'Citrus Glaze (made with lime juice and zest; page 315)']",39.81,27.8,358.94,1490.0,17.25
Blackberry And Mint Chocolate Muffins,"['2/3 cups Cocoa Powder', '1-3/4 cup Flour', '1-1/4 cup Brown Sugar', '1 teaspoon Baking Powder', '1 teaspoon Baking Soda', '3/4 teaspoons Salt', '2 whole Large Eggs', '1 cup Milk', '2 teaspoons Vanilla', '2 teaspoons Vinegar', '1 cup Butter, Melted', '1 cup Fresh Blackberries, Halved', '1 Tablespoon Fresh Spearmint, Chopped']",47.1,39.53,260.99,1397.0,24.25
Texas Pralines,"['2 c. granulated sugar', '1 tsp. baking soda', '1 c. buttermilk', '2 c. pecan halves', '1 tsp. vanilla', '1 Tbsp. butter']",8.14,17.28,129.45,679.0,10.5
French Meringue Strips,"['3 cups flour', '3/4 cup sugar', '1/2 teaspoon salt', '1 cup butter or 1 cup margarine', '2 egg yolks (slightly beaten)', '1/8 teaspoon cream of tartar', '2 cups powdered sugar', '1 teaspoon vanilla', '2 egg whites', '2 teaspoons sugar', '1/2 teaspoon cinnamon', '1 1/2 cups slivered almonds (blanched or unblanched)']",55.85,75.3,395.3,2442.0,20.5
Puerto Rican Chicken Soup,"['1 chicken', '2 carrots, diced', '1 tablespoon garlic powder', '1 green bell pepper, diced', '1/3 cup brown rice', '1 teaspoon chili powder', '1 (16 ounce) can tomato sauce', '3 garlic cloves', '1 teaspoon pepper', '6 cups water', '1 tablespoon cider vinegar', '1 onion, minced', '2 tablespoons olive oil', '1 bay leaf']",39.4,105.11,251.14,2236.0,26.3
Sweet Potato Salad,"['3 lbs sweet potatoes, unpeeled, diced & steamed', '1 cup green bell pepper, diced', '1/2 cup onion, finely chopped', '1/4 teaspoon lemon pepper', '1 1/4 cups mayonnaise', '1 dash hot pepper sauce (optional)']",12.93,0.78,277.1,1362.0,12.1
Sugar Cookie I,"['1 1/2 c. brown sugar', '1 1/2 c. white sugar', '3 eggs', '1 1/2 c. butter or margarine', '4 1/2 c. flour', '1 1/2 tsp. baking soda', '1/4 tsp. vanilla extract']",23.35,26.2,294.64,1484.0,17.25
Hoisin-Glazed Cornish Hen ,"['1 (1 1/2-pound) Cornish hens', 'Vegetable oil, for frying', '1/2 cup hoisin', '1/4 cup honey', '1/2 teaspoon red pepper flakes', '1/4 cup scallions, sliced']",2.13,100.19,156.44,1526.0,11.75
Chicken With Mango And Asparagus,"['1 lb boneless skinless chicken breast, cut into bite-size cubes', '1 large egg white, lightly beaten', '1 tablespoon cornstarch', '2 1/2 tablespoons vodka', '1/2 tablespoon canola oil', '1/2 cup dry white wine', '1 tablespoon low sodium soy sauce', '1/2 cup low sodium chicken broth', 'vegetable oil cooking spray', '3 scallions, white part and 2 inches green,cut into 1 inch pieces', '1 clove garlic, minced', '2 inches fresh ginger, peeled and julienned', '1/2 red bell pepper, 3 oz seeded and julienned', '6 ounces thin asparagus, cut into 2 inch pieces', '1 small ripe mango, 4 oz peeled and cut into chunks']",66.12,246.27,144.72,2925.0,31.5
Quick Monkey Bread,"['1/2 c. chopped pecans (optional)', '1/2 c. sugar', '1 tsp. ground cinnamon', '3 (10 oz.) cans refrigerated buttermilk biscuits', '1 c. firmly packed brown sugar', '1/2 c. butter or margarine, melted']",14.64,74.38,220.46,1505.0,25.75
Smore Pie,"['1 graham cracker crust (9 oz.)', '12 oz. chocolate bar, broken in pieces', '6 oz. hot fudge (warm)', '30 regular marshmallows', '3/4 c. milk', '2 1/2 c. whipped cream (reserve 1 c. for topping)']",3.75,3.33,5.42,67.0,3.5
Stuffed French Toast,"['1 (16 oz.) French bread loaf, cut into 18 slices', '1 (8 oz.) pkg. cream cheese, cut into 1/4-inch slices', '1 (3 oz.) pkg. cream cheese, cut into 1/4-inch slices', '12 large eggs', '2 c. milk', '1/3 c. maple syrup', 'dash of ground cinnamon']",40.73,82.89,172.5,1539.0,25.0
Rich Pastry Crust,"['2 1/2 cups flour, all-purpose', '1 teaspoon salt', '1/2 cup lard', '1/4 cup schmaltz (chicken fat) cold', '6 tablespoons water']",6.67,100.0,80.8,1277.0,6.8
Great Baguette,"['2 packages yeast, active dry (quick rise)', '3 cups whole wheat flour', '1/2 tablespoon sugar', '1 cup flour, unbleached all-purpose white', '13 cup water warm', '1 x cornmeal', '1 teaspoon salt (more or less)', '1 cup water']",61.1,10.05,380.82,1816.0,11.1
Easy Bake Oven Orange Cake Mix,"['1 cup sugar', '1 1/2 cups flour', '1 teaspoon baking soda', '1/2 teaspoon salt', '1 teaspoon orange unsweetened flavored drink mix (Kool-aid)', '1/3 cup shortening']",11.43,100.0,260.5,1998.0,11.5
Russian Salad Dressing,"['1/4 cup sugar (or honey)', '3 tablespoons water', '1 cup vegetable oil', '1/2 cup catsup', '2 -3 tablespoons lemon juice', '1 teaspoon vinegar', '1/2 teaspoon salt', '1/2 teaspoon paprika', '1 1/2 teaspoons celery seeds', '1 tablespoon Worcestershire sauce', '1/4 cup grated onion (or 1/2 tbsp onion powder)']",10.9,100.78,190.3,1661.0,16.05
14 Layer Chocolate Cake,"['1/2 c. vegetable shortening', '6 eggs', '1 c. milk', '2 tsp. vanilla', '1 stick margarine', '2 c. sugar', '3 c. self-rising flour']",25.92,208.13,197.71,2787.0,16.0
Todd'S Hamburger And Potatoes,"['1 1/2 lb. lean ground beef', '4 to 5 medium potatoes, peeled and thinly sliced', '1 envelope onion soup mix', '1 can cream of mushroom soup', '1 c. water', '2 c. crushed plain potato chips', 'salt', 'pepper']",28.13,27.58,154.5,1050.0,12.65
Hot & Sour Soup,"['1 Tablespoon Peanut Oil', '1 teaspoon Ginger, Finely Chopped', '3 cups, 12 tablespoons, 2-1/2 teaspoons, 1-5/8 pinches Vegetable Stock', '7 ounces, weight Rice Noodles', '1 Tablespoon Oyster Sauce', '1 teaspoon Dark Soy Sauce', '2 Tablespoons Fish Sauce', '1 whole Thick Red Hot Chili Pepper, Deseeded And Thinly Sliced', '2 whole Small Garlic Cloves, Minced', '10 whole Tiger Shrimp, Tails On', '1 whole Lime, Juiced', '1 pinch Sugar', '2 whole Green Onions, Thinly Sliced', '1/4 cups Cilantro Leaves, Plus Extra For Garnish', 'Salt And Pepper, to taste']",25.86,0.66,283.73,1381.0,30.75
Herb Fryer Chicken,"['1/3 cup lemon juice', '1/4 cup olive oil', '1/4 cup minced fresh parsley', '2 tablespoons finely chopped onion', '3 garlic cloves, minced', '1 tablespoon grated lemon peel', '1 teaspoon minced fresh thyme', '1/2 teaspoon salt', '1/4 teaspoon pepper', '1 broiler/fryer chicken (3 pounds), cut up']",32.3,102.57,159.4,1796.0,23.0
Sheep-Wagon Carrot Cake,"['1 1/3 c. sugar', '1 1/3 c. water', '1 c. raisins', '1 Tbsp. butter', '2 large, grated carrots', '1 tsp. cinnamon', '1 tsp. cloves', '1 tsp. nutmeg', '1 c. chopped walnuts', '2 1/2 c. sifted flour', '2 tsp. baking powder', '1 tsp. baking soda', '1/2 tsp. salt']",25.45,64.55,276.77,1704.0,29.3
Maypo Cookies,"['1 cup shortening', '2 eggs', '3/4 cup brown sugar', '3/4 cup white sugar', '1 1/2 cups flour', '1 teaspoon salt', '1 teaspoon baking soda (dissolved in 1T hot water)', '1 cup maypo', '1 teaspoon vanilla', '1 cup nuts', '1 bag butterscotch chips or 1 bag chocolate chips']",43.35,152.9,324.64,2793.0,28.75
Cranberry Caramel Streusel Squares,"['1 12 cups all-purpose flour', '12 cup icing sugar', '23 cup butter, chilled and cut into chunks', '12 cup all-purpose flour', '12 cup quick-cooking oats', '2 tablespoons brown sugar', '2 tablespoons granulated sugar', '14 teaspoon baking soda', '14 cup butter, melted', '1 (284 ml) can caramel sauce', '13 cup all-purpose flour', '1 cup cranberries (fresh or frozen)', '10 ounces dates, pitted and chopped', '1 cup pecans, coarsely chopped']",34.87,73.3,685.5,3448.0,43.0
Herbed Biscuit Ham Sandwiches,"['8 tablespoons cold unsalted butter, cubed', '2 cups all-purpose flour, plus additional for work surface', '1 teaspoon sugar', '1 tablespoon baking powder', '14 teaspoon kosher salt', '34 teaspoon baking soda', '2 tablespoons choppped fresh dill', '2 tablespoons chopped of fresh mint', '2 tablespoons chopped flat leaf parsley', '2 tablespoons chopped fresh tarragon', '34 cup buttermilk', 'mustard', 'honey (optional)', 'sliced ham', 'bread and butter pickles']",17.04,4.46,267.21,1148.0,27.5
Balsamic Salmon Fillets ,"['\t3/4 pound center-cut salmon fillet, 1-inch thick', '\t1 tablespoon olive oil plus more for oiling the fish', '\tKosher salt', '\tFreshly ground black pepper', '\t1/2 teaspoons dried thyme', '\t1 tablespoon unsalted butter', '\tAged balsamic vinegar or balsamic vinegar reduction for drizzling (optional']",19.88,109.62,143.19,1712.0,19.5
Pork Rub,"['2 tablespoons sweet paprika', '2 teaspoons ground cumin', '2 teaspoons fresh ground pepper', '2 teaspoons cocoa powder', '1 tablespoon muscovado sugar', '1 teaspoon salt']",20.0,10.0,276.7,1408.0,15.5
Bachelor'S Soup,"['1 can mixed veggies', '1 can tomato soup']",6.41,28.8,57.7,513.0,3.0
Spicy Baked Spaghetti,"['1 lb ground sausage (spicy or hot)', '1 lb spaghetti noodles', '1 tablespoon rosemary', '1 tablespoon basil', '1/2 tablespoon cayenne pepper (optional)', '1 tablespoon sage', '2 teaspoons oregano', '1 bell pepper (chopped large)', '1 large onion (chopped large)', '1 (16 ounce) can preferred spaghetti sauce (watch for my sauce recipe later)', '2 (8 ounce) bags of shredded mozzarella cheese']",47.0,24.03,274.17,1646.0,22.75
Roasted Asparagus With Balsamic Brown Butter Sauce,"['1 bunch Fresh Asparagus, Ends Trimmed', '1/4 cups Balsamic Vinegar', '1 teaspoon Honey', '6 Tablespoons Butter', '2 teaspoons Soy Sauce', 'Salt And Pepper']",9.62,0.57,229.68,1002.0,16.5
Pita Pizzas,"['2 Tbsp. pizza sauce', '1 pita bread', '1/2 c. mushrooms, sliced', '1/4 medium onion, sliced into rings', '1/4 medium green bell pepper, sliced', '3/4 oz. Mozzarella cheese, shredded', 'any other pizza toppings']",49.12,28.36,207.37,1364.0,17.25
Cinnamon Cheese Toast,"['cinnamon to taste', 'sliced cheese', 'sliced bread']",31.8,29.96,68.56,688.0,10.5
Saute Green Beans,"['1 fresh green beans', '1 yellow bell pepper', '1 red bell pepper', '2 clove garlic chopped', '1 small onion']",12.63,0.91,169.38,806.0,8.5
Taffy,"['2 c. sugar', '1 c. Kings syrup', '1 Tbsp. vinegar', '1 tsp. vanilla', 'lump of butter']",4.68,16.2,208.87,990.0,9.75
